date,total_admissions,total_deaths,avg_icu_utilization,avg_bed_occupancy,year,month,day_of_week,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7
2020-04-10,133.0,1216.0,0.6861167002012073,0.5158970998818289,2020,4,4,0,74.0,2.0,2.0,60.42857142857143,31.357142857142858,46.46811502832577
2020-04-11,102.0,1225.0,0.6861167002012073,0.49922730005770305,2020,4,5,1,133.0,2.0,2.0,74.71428571428571,38.5,40.49985302736414
2020-04-12,123.0,1238.0,0.6861167002012073,0.49395947012577507,2020,4,6,1,102.0,0.0,4.0,92.28571428571429,47.0,27.170537264435836
2020-04-13,113.0,1378.0,0.6959183673469388,0.49735019185103324,2020,4,0,0,123.0,74.0,2.0,97.85714285714286,54.92857142857143,26.791967524045806
2020-04-14,104.0,1550.0,0.6959183673469388,0.5099301422714855,2020,4,1,0,113.0,76.0,2.0,101.85714285714286,62.214285714285715,25.0161852369526
2020-07-10,194.0,413.0,0.6798561151079137,0.6580570221691543,2020,7,4,0,140.0,128.0,92.0,130.28571428571428,122.35714285714286,31.266138689825986
2020-07-11,168.0,471.0,0.6787401574803149,0.6369515010046471,2020,7,5,1,194.0,113.0,86.0,138.14285714285714,128.21428571428572,33.057669666955185
2020-07-12,174.0,449.0,0.6981757877280266,0.6158726902972026,2020,7,6,1,168.0,104.0,86.0,148.14285714285714,134.5,31.561730895862834
2020-07-13,221.0,424.0,0.7288135593220338,0.6275071581828267,2020,7,0,0,174.0,110.0,113.0,164.0,142.21428571428572,36.67424164178457
2020-07-14,349.0,332.0,0.733909702209414,0.6569570145644146,2020,7,1,0,221.0,114.0,145.0,197.57142857142858,156.78571428571428,72.92200660718993
2020-07-15,3893.0,648.0,0.6320298293315478,0.6840915099020932,2020,7,2,0,349.0,137.0,128.0,734.1428571428571,425.7142857142857,1394.5768089963624
2020-07-16,4536.0,526.0,0.6369885661988234,0.6761675720883754,2020,7,3,0,3893.0,140.0,115.0,1362.142857142857,741.5,1958.2939367871063
2020-07-17,4877.0,532.0,0.6306195328510006,0.6712751978671693,2020,7,4,0,4536.0,194.0,128.0,2031.142857142857,1080.7142857142858,2268.1206191155584
2020-07-18,4547.0,440.0,0.6244663932757152,0.6507973206087045,2020,7,5,1,4877.0,168.0,113.0,2656.714285714286,1397.4285714285713,2272.483422329392
2020-07-19,3668.0,394.0,0.5955533382344784,0.6367627191157493,2020,7,6,1,4547.0,174.0,104.0,3155.8571428571427,1652.0,2004.1585456720927
2020-07-20,4021.0,497.0,0.6161462570485512,0.6426809772843151,2020,7,0,0,3668.0,221.0,110.0,3698.714285714286,1931.357142857143,1536.8874079651723
2020-07-21,5085.0,570.0,0.6274416903515232,0.668856995445048,2020,7,1,0,4021.0,349.0,114.0,4375.285714285715,2286.4285714285716,527.4304738654246
2020-07-22,4620.0,739.0,0.6300752400422197,0.6842589766128079,2020,7,2,0,5085.0,3893.0,137.0,4479.142857142857,2606.6428571428573,486.6345064390155
2020-07-23,4863.0,1079.0,0.6420598024442608,0.6757847939086805,2020,7,3,0,4620.0,4536.0,140.0,4525.857142857143,2944.0,508.2185975120786
2020-07-24,5068.0,838.0,0.662107724139809,0.66822862347953,2020,7,4,0,4863.0,4877.0,194.0,4553.142857142857,3292.1428571428573,534.652980468463
2020-07-25,5481.0,804.0,0.6630865488689981,0.6504964541246184,2020,7,5,1,5068.0,4547.0,168.0,4686.571428571428,3671.6428571428573,639.1898145681138
2020-07-26,4515.0,874.0,0.6504274720986404,0.6395352796718814,2020,7,6,1,5481.0,3668.0,174.0,4807.571428571428,3981.714285714286,472.7303167567661
2020-07-27,4991.0,727.0,0.632719011328285,0.635389296878689,2020,7,0,0,4515.0,4021.0,221.0,4946.142857142857,4322.428571428572,321.81279680969135
2020-07-28,6100.0,767.0,0.6520091191316036,0.6596347195410316,2020,7,1,0,4991.0,5085.0,349.0,5091.142857142857,4733.214285714285,545.6358457712205
2020-07-29,5257.0,901.0,0.651728344661928,0.670549079645135,2020,7,2,0,6100.0,4620.0,3893.0,5182.142857142857,4830.642857142857,505.6146189116187
2020-07-30,5387.0,1305.0,0.6563651093022362,0.6760739106949258,2020,7,3,0,5257.0,4863.0,4536.0,5257.0,4891.428571428572,489.00681658507074
2020-07-31,6288.0,1348.0,0.6630089395127842,0.6692205187847622,2020,7,4,0,5387.0,5068.0,4877.0,5431.285714285715,4992.214285714285,612.2877085939552
2020-08-01,6034.0,1314.0,0.6495742638751951,0.6506148695706082,2020,8,5,1,6288.0,5481.0,4547.0,5510.285714285715,5098.428571428572,654.0238818997638
