column_name,dtype
state,object
date,object
critical_staffing_shortage_today_yes,int64
critical_staffing_shortage_today_no,int64
critical_staffing_shortage_today_not_reported,int64
critical_staffing_shortage_anticipated_within_week_yes,int64
critical_staffing_shortage_anticipated_within_week_no,int64
critical_staffing_shortage_anticipated_within_week_not_reported,int64
hospital_onset_covid,float64
hospital_onset_covid_coverage,int64
inpatient_beds,float64
inpatient_beds_coverage,int64
inpatient_beds_used,float64
inpatient_beds_used_coverage,int64
inpatient_beds_used_covid,float64
inpatient_beds_used_covid_coverage,int64
previous_day_admission_adult_covid_confirmed,float64
previous_day_admission_adult_covid_confirmed_coverage,int64
previous_day_admission_adult_covid_suspected,float64
previous_day_admission_adult_covid_suspected_coverage,int64
previous_day_admission_pediatric_covid_confirmed,float64
previous_day_admission_pediatric_covid_confirmed_coverage,int64
previous_day_admission_pediatric_covid_suspected,float64
previous_day_admission_pediatric_covid_suspected_coverage,int64
staffed_adult_icu_bed_occupancy,float64
staffed_adult_icu_bed_occupancy_coverage,int64
staffed_icu_adult_patients_confirmed_and_suspected_covid,float64
staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,int64
staffed_icu_adult_patients_confirmed_covid,float64
staffed_icu_adult_patients_confirmed_covid_coverage,int64
total_adult_patients_hospitalized_confirmed_and_suspected_covid,float64
total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,int64
total_adult_patients_hospitalized_confirmed_covid,float64
total_adult_patients_hospitalized_confirmed_covid_coverage,int64
total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,float64
total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,int64
total_pediatric_patients_hospitalized_confirmed_covid,float64
total_pediatric_patients_hospitalized_confirmed_covid_coverage,int64
total_staffed_adult_icu_beds,float64
total_staffed_adult_icu_beds_coverage,int64
inpatient_beds_utilization,float64
inpatient_beds_utilization_coverage,float64
inpatient_beds_utilization_numerator,float64
inpatient_beds_utilization_denominator,float64
percent_of_inpatients_with_covid,float64
percent_of_inpatients_with_covid_coverage,float64
percent_of_inpatients_with_covid_numerator,float64
percent_of_inpatients_with_covid_denominator,float64
inpatient_bed_covid_utilization,float64
inpatient_bed_covid_utilization_coverage,float64
inpatient_bed_covid_utilization_numerator,float64
inpatient_bed_covid_utilization_denominator,float64
adult_icu_bed_covid_utilization,float64
adult_icu_bed_covid_utilization_coverage,float64
adult_icu_bed_covid_utilization_numerator,float64
adult_icu_bed_covid_utilization_denominator,float64
adult_icu_bed_utilization,float64
adult_icu_bed_utilization_coverage,float64
adult_icu_bed_utilization_numerator,float64
adult_icu_bed_utilization_denominator,float64
geocoded_state,float64
previous_day_admission_adult_covid_confirmed_18-19,float64
previous_day_admission_adult_covid_confirmed_18-19_coverage,int64
previous_day_admission_adult_covid_confirmed_20-29,float64
previous_day_admission_adult_covid_confirmed_20-29_coverage,int64
previous_day_admission_adult_covid_confirmed_30-39,float64
previous_day_admission_adult_covid_confirmed_30-39_coverage,int64
previous_day_admission_adult_covid_confirmed_40-49,float64
previous_day_admission_adult_covid_confirmed_40-49_coverage,int64
previous_day_admission_adult_covid_confirmed_50-59,float64
previous_day_admission_adult_covid_confirmed_50-59_coverage,int64
previous_day_admission_adult_covid_confirmed_60-69,float64
previous_day_admission_adult_covid_confirmed_60-69_coverage,int64
previous_day_admission_adult_covid_confirmed_70-79,float64
previous_day_admission_adult_covid_confirmed_70-79_coverage,int64
previous_day_admission_adult_covid_confirmed_80+,float64
previous_day_admission_adult_covid_confirmed_80+_coverage,int64
previous_day_admission_adult_covid_confirmed_unknown,float64
previous_day_admission_adult_covid_confirmed_unknown_coverage,int64
previous_day_admission_adult_covid_suspected_18-19,float64
previous_day_admission_adult_covid_suspected_18-19_coverage,int64
previous_day_admission_adult_covid_suspected_20-29,float64
previous_day_admission_adult_covid_suspected_20-29_coverage,int64
previous_day_admission_adult_covid_suspected_30-39,float64
previous_day_admission_adult_covid_suspected_30-39_coverage,int64
previous_day_admission_adult_covid_suspected_40-49,float64
previous_day_admission_adult_covid_suspected_40-49_coverage,int64
previous_day_admission_adult_covid_suspected_50-59,float64
previous_day_admission_adult_covid_suspected_50-59_coverage,int64
previous_day_admission_adult_covid_suspected_60-69,float64
previous_day_admission_adult_covid_suspected_60-69_coverage,int64
previous_day_admission_adult_covid_suspected_70-79,float64
previous_day_admission_adult_covid_suspected_70-79_coverage,int64
previous_day_admission_adult_covid_suspected_80+,float64
previous_day_admission_adult_covid_suspected_80+_coverage,int64
previous_day_admission_adult_covid_suspected_unknown,float64
previous_day_admission_adult_covid_suspected_unknown_coverage,int64
deaths_covid,float64
deaths_covid_coverage,int64
on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,float64
on_hand_supply_therapeutic_b_bamlanivimab_courses,float64
on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,float64
previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,float64
previous_week_therapeutic_b_bamlanivimab_courses_used,float64
previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,float64
icu_patients_confirmed_influenza,float64
icu_patients_confirmed_influenza_coverage,int64
previous_day_admission_influenza_confirmed,float64
previous_day_admission_influenza_confirmed_coverage,int64
previous_day_deaths_covid_and_influenza,float64
previous_day_deaths_covid_and_influenza_coverage,int64
previous_day_deaths_influenza,float64
previous_day_deaths_influenza_coverage,int64
total_patients_hospitalized_confirmed_influenza,float64
total_patients_hospitalized_confirmed_influenza_and_covid,float64
total_patients_hospitalized_confirmed_influenza_and_covid_coverage,int64
total_patients_hospitalized_confirmed_influenza_coverage,int64
all_pediatric_inpatient_bed_occupied,float64
all_pediatric_inpatient_bed_occupied_coverage,int64
all_pediatric_inpatient_beds,float64
all_pediatric_inpatient_beds_coverage,int64
previous_day_admission_pediatric_covid_confirmed_0_4,float64
previous_day_admission_pediatric_covid_confirmed_0_4_coverage,int64
previous_day_admission_pediatric_covid_confirmed_12_17,float64
previous_day_admission_pediatric_covid_confirmed_12_17_coverage,int64
previous_day_admission_pediatric_covid_confirmed_5_11,float64
previous_day_admission_pediatric_covid_confirmed_5_11_coverage,int64
previous_day_admission_pediatric_covid_confirmed_unknown,float64
previous_day_admission_pediatric_covid_confirmed_unknown_coverage,int64
staffed_icu_pediatric_patients_confirmed_covid,float64
staffed_icu_pediatric_patients_confirmed_covid_coverage,int64
staffed_pediatric_icu_bed_occupancy,float64
staffed_pediatric_icu_bed_occupancy_coverage,int64
total_staffed_pediatric_icu_beds,float64
total_staffed_pediatric_icu_beds_coverage,int64
