column_name,missing_count,missing_pct
geocoded_state,81335,100.0
previous_day_admission_pediatric_covid_confirmed_12_17,37042,45.54
previous_day_admission_pediatric_covid_confirmed_5_11,37029,45.53
previous_day_admission_pediatric_covid_confirmed_0_4,36412,44.77
previous_day_admission_pediatric_covid_confirmed_unknown,36296,44.63
staffed_icu_pediatric_patients_confirmed_covid,30149,37.07
on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,22816,28.05
previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,22760,27.98
on_hand_supply_therapeutic_b_bamlanivimab_courses,20213,24.85
previous_week_therapeutic_b_bamlanivimab_courses_used,20141,24.76
on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,18127,22.29
previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,18089,22.24
previous_day_deaths_covid_and_influenza,14361,17.66
total_patients_hospitalized_confirmed_influenza_and_covid,14352,17.65
previous_day_deaths_influenza,14214,17.48
total_patients_hospitalized_confirmed_influenza,11766,14.47
icu_patients_confirmed_influenza,11710,14.4
previous_day_admission_influenza_confirmed,11709,14.4
adult_icu_bed_covid_utilization,8672,10.66
previous_day_admission_adult_covid_suspected_50-59,8472,10.42
previous_day_admission_adult_covid_suspected_80+,8474,10.42
previous_day_admission_adult_covid_suspected_40-49,8470,10.41
previous_day_admission_adult_covid_suspected_60-69,8466,10.41
previous_day_admission_adult_covid_suspected_70-79,8467,10.41
previous_day_admission_adult_covid_suspected_20-29,8462,10.4
previous_day_admission_adult_covid_suspected_30-39,8461,10.4
all_pediatric_inpatient_beds,8314,10.22
total_staffed_pediatric_icu_beds,8316,10.22
staffed_pediatric_icu_bed_occupancy,8303,10.21
all_pediatric_inpatient_bed_occupied,8303,10.21
previous_day_admission_adult_covid_confirmed_30-39,8126,9.99
previous_day_admission_adult_covid_confirmed_20-29,8122,9.99
previous_day_admission_adult_covid_confirmed_40-49,8128,9.99
previous_day_admission_adult_covid_confirmed_50-59,8120,9.98
previous_day_admission_adult_covid_confirmed_60-69,8099,9.96
previous_day_admission_adult_covid_confirmed_80+,8105,9.96
previous_day_admission_adult_covid_confirmed_70-79,8088,9.94
previous_day_admission_adult_covid_suspected_unknown,7964,9.79
adult_icu_bed_covid_utilization_denominator,7937,9.76
adult_icu_bed_covid_utilization_numerator,7937,9.76
adult_icu_bed_covid_utilization_coverage,7937,9.76
previous_day_admission_pediatric_covid_suspected,7923,9.74
total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,7926,9.74
staffed_icu_adult_patients_confirmed_and_suspected_covid,7842,9.64
previous_day_admission_adult_covid_suspected_18-19,7829,9.63
previous_day_admission_adult_covid_confirmed_unknown,7649,9.4
previous_day_admission_adult_covid_confirmed_18-19,7546,9.28
