,count,mean,std,min,25%,50%,75%,max
critical_staffing_shortage_today_yes,81335.0,7.883826151103461,14.95013279273283,0.0,0.0,2.0,10.0,191.0
critical_staffing_shortage_today_no,81335.0,47.54032089506362,59.096154414355354,0.0,3.0,24.0,78.0,494.0
critical_staffing_shortage_today_not_reported,81335.0,47.32288682608963,69.30137804311161,0.0,5.0,22.0,64.0,523.0
critical_staffing_shortage_anticipated_within_week_yes,81335.0,12.675932870228069,18.946847000741297,0.0,1.0,6.0,18.0,204.0
critical_staffing_shortage_anticipated_within_week_no,81335.0,62.46554373885781,59.42878862993171,0.0,17.0,52.0,90.0,469.0
critical_staffing_shortage_anticipated_within_week_not_reported,81335.0,27.605557263170837,58.28658957098809,0.0,3.0,10.0,29.0,523.0
hospital_onset_covid,80413.0,20.098379615236343,48.87563016251877,0.0,1.0,6.0,19.0,1334.0
hospital_onset_covid_coverage,81335.0,85.88265814225119,86.90203822289074,0.0,27.0,61.0,117.0,597.0
inpatient_beds,80984.0,13144.615850044453,14479.413841013988,0.0,3098.0,8771.0,16790.0,108913.0
inpatient_beds_coverage,81335.0,99.37008667855167,90.03281868036741,0.0,42.0,88.0,130.0,597.0
inpatient_beds_used,80984.0,9669.722908228787,11041.23686012157,0.0,2195.0,5996.0,12320.5,57406.0
inpatient_beds_used_coverage,81335.0,99.37008667855167,90.03281868036741,0.0,42.0,88.0,130.0,597.0
inpatient_beds_used_covid,80524.0,769.5905692712731,1481.0680792493933,0.0,78.0,284.0,827.0,30334.0
inpatient_beds_used_covid_coverage,81335.0,87.77844716296798,87.95363330388422,0.0,26.0,62.0,121.0,597.0
previous_day_admission_adult_covid_confirmed,74554.0,92.91583281916463,173.7940196260376,0.0,12.0,37.0,98.0,2550.0
previous_day_admission_adult_covid_confirmed_coverage,81335.0,95.4596422204463,92.34514739960731,0.0,30.0,79.0,129.0,598.0
previous_day_admission_adult_covid_suspected,74082.0,72.17230906293027,106.52769867424283,0.0,7.0,30.0,90.0,1442.0
previous_day_admission_adult_covid_suspected_coverage,81335.0,83.70889530952235,87.60263416532467,0.0,24.0,61.0,117.0,597.0
previous_day_admission_pediatric_covid_confirmed,74138.0,3.2839704335158757,6.87988644207405,-62.0,0.0,1.0,4.0,166.0
previous_day_admission_pediatric_covid_confirmed_coverage,81335.0,92.42135611975165,90.81367598193299,0.0,29.0,74.0,127.0,597.0
previous_day_admission_pediatric_covid_suspected,73412.0,7.338718465645943,18.992315826743756,-888.0,0.0,2.0,8.0,3282.0
previous_day_admission_pediatric_covid_suspected_coverage,81335.0,80.01406528554743,87.81179044184147,0.0,19.0,58.0,114.0,597.0
staffed_adult_icu_bed_occupancy,74138.0,1073.4011168361703,1240.7805282652398,0.0,227.0,661.0,1327.0,8118.0
staffed_adult_icu_bed_occupancy_coverage,81335.0,93.62781090551424,91.42588913684261,0.0,30.0,73.0,128.0,594.0
staffed_icu_adult_patients_confirmed_and_suspected_covid,73493.0,154.29881757446287,329.879721508849,0.0,12.0,48.0,158.0,4939.0
staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,81335.0,80.94520194258314,87.84063882543381,0.0,21.0,59.0,115.0,597.0
